,words,IPA
8732,compass,kVmp@s
8733,compass,kVmp@s
8734,compassion,"k@mpɑSn,"
8735,compassionate,k@mpɑS@n@t
8736,compassionateleave,k@mpɑS@n@tliv
8737,compassionately,k@mpɑS@n@tlI
8738,compasspoint,kVmp@spOInt
8739,compatibility,k@mpɑt@bIl@tI
8740,compatible,"k@mpɑt@bl,"
8741,compatibly,k@mpɑt@blI
8742,compatriot,k@mpɑtrI@t
8743,compeer,kOmpI@rɞ
8744,compel,k@mpEl
8745,compelling,k@mpElIN
8746,compellingly,k@mpElINlI
8747,compendious,k@mpEndI@s
8748,compendiously,k@mpEndI@slI
8749,compendium,k@mpEndI@m
8750,compensate,kOmpEnseIt
8751,compensatefor,kOmpEnseItfOrɞ
8752,compensation,"kOmpEnseISn,"
8753,compensatory,kOmpEnseIt@rI
8754,compere,kOmpE@rɞ
8755,compere,kOmpE@rɞ
8756,compete,k@mpit
8757,competence,kOmpIt@ns
8758,competency,kOmpIt@nsI
8759,competent,kOmpIt@nt
8760,competently,kOmpIt@ntlI
8761,competition,"kOmpItISn,"
8762,competitive,k@mpEt@tIv
8763,competitively,k@mpEt@tIvlI
8764,competitiveness,k@mpEt@tIvnIs
8765,competitor,k@mpEtIt@rɞ
8766,compilation,"kOmpIleISn,"
8767,compile,k@mpaIl
8768,compiler,k@mpaIl@rɞ
8769,complacence,"k@mpleIsn,s"
8770,complacency,"k@mpleIsn,sI"
8771,complacent,"k@mpleIsn,t"
8772,complacently,"k@mpleIsn,tlI"
8773,complain,k@mpleIn
8774,complainant,k@mpleIn@nt
8775,complainer,k@mpleIn@rɞ
8776,complaining,k@mpleInIN
8777,complainingly,k@mpleInINlI
8778,complaint,k@mpleInt
8779,complaisance,k@mpleIz@ns
8780,complaisant,k@mpleIz@nt
8781,complaisantly,k@mpleIz@ntlI
8782,complement,kOmplIm@nt
8783,complement,kOmplImEnt
8784,complementary,kOmplImEnt@rI
8785,complementaryangles,"kOmplImEnt@rIɑNgl,z"
8786,complementarycolours,kOmplImEnt@rIkVl@z
8787,complete,k@mplit
8788,complete,k@mplit
8789,completely,k@mplitlI
8790,completeness,k@mplitnIs
8791,completion,"k@mpliSn,"
8792,complex,kOmplEks
8793,complex,kOmplEks
8794,complexion,"k@mplEkSn,"
8795,complexity,k@mplEks@tI
8796,compliance,k@mplaI@ns
8797,compliant,k@mplaI@nt
8798,compliantly,k@mplaI@ntlI
8799,complicate,kOmplIkeIt
8800,complicated,kOmplIkeItId
8801,complicatedly,kOmplIkeItIdlI
8802,complicatedness,kOmplIkeItIdnIs
8803,complication,"kOmplIkeISn,"
8804,complicity,k@mplIs@tI
8805,compliment,kOmplIm@nt
8806,compliment,kOmplImEnt
8807,complimentary,kOmplImEnt@rI
8808,compliments,kOmplIm@nts
8809,compline,kOmplIn
8810,comply,k@mplaI
8811,compo,kOmp@U
8812,component,k@mp@Un@nt
8813,component,k@mp@Un@nt
8814,comport,k@mpOt
8815,comportment,k@mpOtm@nt
8816,compose,k@mp@Uz
8817,composed,k@mp@Uzd
8818,composedly,k@mp@UzIdlI
8819,composer,k@mp@Uz@rɞ
8820,composite,kOmp@zIt
8821,composite,kOmp@zIt
8822,composition,"kOmp@zISn,"
8823,compositor,k@mpOzIt@rɞ
8824,composmentis,kOmp@smEntIs
8825,compost,kOmpOst
8826,compost,kOmpOst
8827,composure,k@mp@UZ@rɞ
8828,compote,kOmpOt
8829,compound,kOmpaUnd
8830,compound,k@mpaUnd
8831,compound,kOmpaUnd
8832,compoundeye,kOmpaUndaI
8833,compoundfracture,kOmpaUndfrɑktS@rɞ
8834,compoundinterest,kOmpaUndIntr@st
8835,compoundleaf,kOmpaUndlif
8836,comprehend,kOmprIhEnd
8837,comprehensibility,kOmprIhEns@bIl@tI
8838,comprehensible,"kOmprIhEns@bl,"
8839,comprehension,"kOmprIhEnSn,"
8840,comprehensive,kOmprIhEnsIv
8841,comprehensive,kOmprIhEnsIv
8842,comprehensively,kOmprIhEnsIvlI
8843,comprehensiveness,kOmprIhEnsIvnIs
8844,comprehensiveschool,kOmprIhEnsIvskul
8845,compress,kOmprEs
8846,compress,k@mprEs
8847,compressibility,k@mprEs@bIl@tI
8848,compressible,"k@mprEs@bl,"
8849,compression,"k@mprESn,"
8850,compressor,k@mprEs@rɞ
8851,comprise,k@mpraIz
8852,compromise,kOmpr@maIz
8853,compromise,kOmpr@maIz
8854,comptometer,kOmptOmIt@rɞ
8855,compulsion,"k@mpVlSn,"
8856,compulsive,k@mpVlsIv
8857,compulsively,k@mpVlsIvlI
8858,compulsiveness,k@mpVlsIvnIs
8859,compulsorily,k@mpVls@r@lI
8860,compulsory,k@mpVls@rI
8861,compunction,"k@mpVNkSn,"
8862,computation,"kOmpjuteISn,"
8863,compute,k@mpjut
8864,computer,k@mpjut@rɞ
8865,computerize,k@mpjut@raIz
8866,comrade,kOmreId
8867,comradely,kOmreIdlI
8868,comradeship,kOmreIdSIp
8869,coms,kOmz
8870,con,kOn
8871,con,kOn
8872,con,kOn
8873,con,kOn
8874,con,kOn
8875,con,kOn
8876,concatenate,k@nkɑtIneIt
8877,concatenation,"k@nkɑtIneISn,"
8878,concave,kONkeIv
8879,concavity,kOnkɑv@tI
8880,conceal,k@nsil
8881,concealment,k@nsilm@nt
8882,concede,k@nsid
8883,conceit,k@nsit
8884,conceited,k@nsitId
8885,conceitedly,k@nsitIdlI
8886,conceitedness,k@nsitIdnIs
8887,conceivable,"k@nsiv@bl,"
8888,conceivably,k@nsiv@blI
8889,conceive,k@nsiv
8890,conceiveof,k@nsivOv
8891,concentrate,kOns@ntreIt
8892,concentrate,kOns@ntreIt
8893,concentrated,kOns@ntreItId
8894,concentration,"kOns@ntreISn,"
8895,concentrationcamp,"kOns@ntreISn,kɑmp"
8896,concentric,k@nsEntrIk
8897,concept,kOnsEpt
8898,conception,"k@nsEpSn,"
8899,conceptual,k@nsEptSU@l
8900,conceptualize,k@nsEptSU@laIz
8901,conceptually,k@nsEptSU@lI
8902,concern,k@ns3n
8903,concern,k@ns3n
8904,concerned,k@ns3nd
8905,concernedly,k@ns3nIdlI
8906,concerning,k@ns3nIN
8907,concert,kOns@t
8908,concert,k@ns3t
8909,concerted,k@ns3tId
8910,concertedly,k@ns3tIdlI
8911,concertgoer,kOns@tg@U@rɞ
8912,concertgrand,kOns@tgrɑnd
8913,concert-hall,kOns@thOl
8914,concertina,kOns@tin@
8915,concertina,kOns@tin@
8916,concertmaster,kOns@tmAst@rɞ
8917,concerto,k@ntSE@t@U
8918,concertpitch,kOns@tpItS
8919,concession,"k@nsESn,"
8920,concessionaire,k@nsES@nE@rɞ
8921,concessive,k@nsEsIv
8922,concessiveclause,k@nsEsIvklOz
8923,conch,kOntS
8924,conchology,kONkOl@dZI
8925,concierge,kOnsIE@Z
8926,conciliate,k@nsIlIeIt
8927,conciliation,"k@nsIlIeISn,"
8928,conciliatory,k@nsIlI@t@rI
8929,concise,k@nsaIs
8930,concisely,k@nsaIslI
8931,conciseness,k@nsaIsnIs
8932,concision,"k@nsIZn,"
8933,conclave,kONkleIv
8934,conclude,k@nklud
8935,conclusion,"k@nkluZn,"
8936,conclusive,k@nklusIv
8937,conclusively,k@nklusIvlI
8938,concoct,k@nkOkt
8939,concoction,"k@nkOkSn,"
8940,concomitance,k@nkOmIt@ns
8941,concomitant,k@nkOmIt@nt
8942,concomitant,k@nkOmIt@nt
8943,concomitantly,k@nkOmIt@ntlI
8944,concord,kONkOd
8945,concordance,k@nkOd@ns
8946,concordant,k@nkOd@nt
8947,concordat,kOnkOdɑt
8948,concourse,kONkOs
8949,concrete,kONkrit
8950,concrete,kONkrit
8951,concrete,kONkrit
8952,concretely,kONkritlI
8953,concretemixer,kONkritmIks@rɞ
8954,concretion,"k@nkriSn,"
8955,concubinage,kOnkjubInIdZ
8956,concubine,kONkjUbaIn
8957,concupiscence,k@nkjupIs@ns
8958,concupiscent,k@nkjupIs@nt
8959,concur,k@nk3rɞ
8960,concurrence,k@nkVr@ns
8961,concurrent,k@nkVr@nt
8962,concurrently,k@nkVr@ntlI
8963,concuss,k@nkVs
8964,concussion,"k@nkVSn,"
8965,condemn,k@ndEm
8966,condemnation,"kOndEmneISn,"
8967,condemnedcell,k@ndEmdsEl
8968,condensation,"kOndEnseISn,"
8969,condense,k@ndEns
8970,condensedmilk,k@ndEnstmIlk
8971,condenser,k@ndEns@rɞ
8972,condescend,kOndIsEnd
8973,condescending,kOndIsEndIN
8974,condescendingly,kOndIsEndINlI
8975,condescension,"kOndIsEnSn,"
8976,condign,k@ndaIn
8977,condignly,k@ndaInlI
8978,condiment,kOndIm@nt
8979,condition,"k@ndISn,"
8980,condition,"k@ndISn,"
8981,conditional,"k@ndIS@nl,"
8982,conditional,"k@ndIS@nl,"
8983,conditionally,"k@ndISn,@lI"
8984,conditioned,"k@ndISn,d"
8985,conditionedreflex,"k@ndISn,driflEks"
8986,conditionedresponse,"k@ndISn,drIspOns"
8987,conditions,"k@ndISn,z"
8988,condolence,k@nd@Ul@ns
8989,condolewith,k@nd@UlwID
8990,condom,kOnd@m
8991,condominium,kOnd@mInI@m
8992,condonation,"kOnd@UneISn,"
8993,condone,k@nd@Un
8994,condor,kOndOrɞ
8995,conduceto,k@ndjustu
8996,conducetowards,k@ndjust@wOdz
8997,conducive,k@ndjusIv
8998,conduciveness,k@ndjusIvnIs
8999,conduct,kOndVkt
9000,conduct,k@ndVkt
9001,conductance,k@ndVkt@ns
9002,conduction,"k@ndVkSn,"
9003,conductive,k@ndVktIv
9004,conductivity,kOndVktIv@tI
9005,conductor,k@ndVkt@rɞ
9006,conductorrail,k@ndVkt@reIl
9007,conductress,k@ndVktrIs
9008,conduit,kOndIt
9009,cone,k@Un
9010,coneoff,k@UnOf
9011,confab,kOnfɑb
9012,confab,k@nfɑb
9013,confabulate,k@nfɑbjUleIt
9014,confabulation,"k@nfɑbjUleISn,"
9015,confection,"k@nfEkSn,"
9016,confectioner,"k@nfEkSn,@rɞ"
9017,confectionery,"k@nfEkSn,@rI"
9018,confederacy,k@nfEd@r@sI
9019,confederate,k@nfEd@r@t
9020,confederate,k@nfEd@reIt
9021,confederate,k@nfEd@r@t
9022,confederation,"k@nfEd@reISn,"
9023,confer,k@nf3rɞ
9024,conference,kOnf@r@ns
9025,conferment,k@nf3m@nt
9026,confess,k@nfEs
9027,confessed,k@nfEst
9028,confessedly,k@nfEsIdlI
9029,confession,"k@nfESn,"
9030,confessional,"k@nfES@nl,"
9031,confessor,k@nfEs@rɞ
9032,confetti,k@nfEtI
9033,confidant,kOnfIdɑnt
9034,confide,k@nfaId
9035,confidein,k@nfaIdIn
9036,confidence,kOnfId@ns
9037,confidencetrick,kOnfId@nstrIk
9038,confident,kOnfId@nt
9039,confidential,"kOnfIdEnSl,"
9040,confidentiality,kOnfIdEnSIɑl@tI
9041,confidentially,kOnfIdEnS@lI
9042,confidently,kOnfId@ntlI
9043,confideto,k@nfaIdtu
9044,confiding,k@nfaIdIN
9045,confidingly,k@nfaIdINlI
9046,configuration,"k@nfIg@reISn,"
9047,confine,k@nfaIn
9048,confined,k@nfaInd
9049,confinement,k@nfaInm@nt
9050,confines,kOnfaInz
9051,confirm,k@nf3m
9052,confirmation,"kOnf@meISn,"
9053,confirmed,k@nf3md
9054,confiscate,kOnfIskeIt
9055,confiscation,"kOnfIskeISn,"
9056,confiscatory,k@nfIsk@t@rI
9057,conflagration,"kOnfl@greISn,"
9058,conflate,k@nfleIt
9059,conflation,"k@nfleISn,"
9060,conflict,kOnflIkt
9061,conflict,k@nflIkt
9062,conflicting,k@nflIktIN
9063,confluence,kOnflU@ns
9064,confluent,kOnflU@nt
9065,conform,k@nfOm
9066,conformable,"k@nfOm@bl,"
9067,conformably,k@nfOm@blI
9068,conformance,k@nfOm@ns
9069,conformation,"kOnfOmeISn,"
9070,conformist,k@nfOmIst
9071,conformist,k@nfOmIst
9072,conformity,k@nfOm@tI
9073,confound,k@nfaUnd
9074,confounded,k@nfaUndId
9075,confoundedly,k@nfaUndIdlI
9076,confoundwith,k@nfaUndwID
9077,confraternity,kOnfr@t3n@tI
9078,confrere,kOnfrE@rɞ
9079,confront,k@nfrVnt
9080,confrontation,"kOnfrVnteISn,"
9081,confrontwith,k@nfrVntwID
9082,Confucian,"k@nfjuSn,"
9083,Confucian,"k@nfjuSn,"
9084,Confucianism,k@nfjuS@nIz@m
9085,Confucius,k@nfjuS@s
9086,confuse,k@nfjuz
9087,confused,k@nfjuzd
9088,confusedly,k@nfjuzIdlI
9089,confusing,k@nfjuzIN
9090,confusingly,k@nfjuzINlI
9091,confusion,"k@nfjuZn,"
9092,confutation,"kOnfjuteISn,"
9093,confute,k@nfjut
9094,conga,kONg@
9095,conge,kO~nZeI
9096,congeal,k@ndZil
9097,congenial,k@ndZinj@l
9098,congenially,k@ndZinj@lI
9099,congenital,"k@ndZEnItl,"
9100,congenitally,k@ndZEnIt@lI
9101,conger,kONg@rɞ
9102,conger-eel,kONg@ril
9103,congest,k@ndZEst
9104,congested,k@ndZEstId
9105,congestion,k@ndZEstS@n
9106,conglomerate,k@nglOm@r@t
9107,conglomerate,k@nglOm@reIt
9108,conglomerate,k@nglOm@r@t
9109,conglomeration,"k@nglOm@reISn,"
9110,Congo,kONg@U
9111,Congolese,kONg@Uliz
9112,Congolese,kONg@Uliz
9113,congrats,k@ngrɑts
9114,congratulate,k@ngrɑtSUleIt
9115,congratulation,"k@ngrɑtSUleISn,"
9116,congratulations,"k@ngrɑtSUleISn,z"
9117,congratulations,"k@ngrɑtSUleISn,z"
9118,congratulatory,k@ngrɑtSUl@t@rI
9119,congregate,kONgrIgeIt
9120,congregation,"kONgrIgeISn,"
9121,congregational,"kONgrIgeIS@nl,"
9122,Congregational,"kONgrIgeIS@nl,"
9123,Congregationalism,kONgrIgeISn@lIz@m
9124,Congregationalist,kONgrIgeISn@lIst
9125,congress,kONgrEs
9126,Congress,kONgrEs
9127,congressional,"k@NgrES@nl,"
9128,congressman,kONgrEsm@n
9129,congresswoman,kONgr@swUm@n
9130,congruence,kONgrU@ns
9131,congruent,kONgrU@nt
9132,congruently,kONgrU@ntlI
9133,congruity,kONgru@tI
9134,congruous,kONgrU@s
9135,congruously,kONgrU@slI
9136,conic,kOnIk
9137,conical,"kOnIkl,"
9138,conically,kOnIk@lI
9139,conifer,kOnIf@rɞ
9140,coniferous,k@UnIf@r@s
9141,conj,"k@ndZVNkSn,"
9142,conjectural,k@ndZEktS@r@l
9143,conjecture,k@ndZEktS@rɞ
9144,conjecture,k@ndZEktS@rɞ
9145,conjoin,k@ndZOIn
9146,conjoint,kOndZOInt
9147,conjointly,kOndZOIntlI
9148,conjugal,"kOndZUgl,"
9149,conjugally,kOndZUg@lI
9150,conjugate,kOndZUgeIt
9151,conjugate,kOndZUgIt
9152,conjugation,"kOndZUgeISn,"
9153,conjunct,k@ndZVNkt
9154,conjunct,kOndZVNkt
9155,conjunction,"k@ndZVNkSn,"
9156,conjunctiva,kOndZVNktaIv@
9157,conjunctive,k@ndZVNktIv
9158,conjunctive,k@ndZVNktIv
9159,conjunctivitis,k@ndZVNktIvaItIs
9160,conjuncture,k@ndZVNktS@rɞ
9161,conjuration,"kOndZU@reISn,"
9162,conjure,kVndZ@rɞ
9163,conjure,k@ndZU@rɞ
9164,conjurer,kVndZ@r@rɞ
9165,conjureup,kVndZ@rVp
9166,conk,kONk
9167,conk,kONk
9168,conked-out,kONktaUt
9169,conker,kONk@rɞ
9170,conkers,kONk@z
9171,conkout,kONkaUt
9172,con-man,kOnmɑn
9173,connect,k@nEkt
9174,connected,k@nEktId
9175,connectingrod,k@nEktINrOd
9176,connection,"k@nEkSn,"
9177,connective,k@nEktIv
9178,connective,k@nEktIv
9179,conningtower,kOnINtaU@rɞ
9180,connivance,k@naIv@ns
9181,connive,k@naIv
9182,conniveat,k@naIvɑt
9183,connoisseur,kOn@s3rɞ
9184,connotation,"kOn@UteISn,"
9185,connotative,kOn@UteItIv
9186,connotatively,kOn@UteItIvlI
9187,connote,k@n@Ut
9188,connubial,k@njubj@l
9189,conquer,kONk@rɞ
9190,conqueror,kONk@r@rɞ
9191,conquest,kONkwEst
9192,conquistador,kOnkwIst@dOrɞ
9193,Conrad,kOnrɑd
9194,consanguineous,kOnsɑNgwInI@s
9195,consanguinity,kOnsɑNgwIn@tI
9196,conscience,kOnS@ns
9197,conscienceclause,kOnS@nsklOz
9198,consciencemoney,kOnS@nsmVnI
9199,conscience-smitten,"kOnS@nssmItn,"
9200,conscientious,kOnSIEnS@s
9201,conscientiously,kOnSIEnS@slI
9202,conscientiousness,kOnSIEnS@snIs
9203,conscientiousobjection,"kOnSIEnS@s@bdZEkSn,"
9204,conscientiousobjector,kOnSIEnS@s@bdZEkt@rɞ
9205,conscious,kOnS@s
9206,consciously,kOnS@slI
9207,consciousness,kOnS@snIs
9208,conscript,kOnskrIpt
9209,conscript,k@nskrIpt
9210,conscription,"k@nskrIpSn,"
9211,consecrate,kOnsIkreIt
9212,consecration,"kOnsIkreISn,"
9213,consecutive,k@nsEkjUtIv
9214,consecutively,k@nsEkjUtIvlI
9215,consensus,k@nsEns@s
9216,consent,k@nsEnt
9217,consent,k@nsEnt
9218,consequence,kOnsIkw@ns
9219,consequent,kOnsIkw@nt
9220,consequential,"kOnsIkwEnSl,"
9221,consequentially,kOnsIkwEnS@lI
9222,consequently,kOnsIkw@ntlI
9223,conservancy,k@ns3v@nsI
9224,conservation,"kOns@veISn,"
9225,conservationist,"kOns@veISn,Ist"
9226,conservationofenergy,"kOns@veISn,OvEn@dZI"
9227,conservationofmass,"kOns@veISn,Ovmɑs"
9228,conservationofmatter,"kOns@veISn,Ovmɑt@rɞ"
9229,conservatism,k@ns3v@tIz@m
9230,conservative,k@ns3v@tIv
9231,conservative,k@ns3v@tIv
9232,Conservative,k@ns3v@tIv
9233,Conservative,k@ns3v@tIv
9234,ConservativeandUnionistParty,k@ns3v@tIvɑndjunj@nIstpAtI
9235,conservatively,k@ns3v@tIvlI
9236,ConservativeParty,k@ns3v@tIvpAtI
9237,conservatoire,k@ns3v@twArɞ
9238,conservatory,k@ns3v@trI
9239,conserve,k@ns3v
9240,conserve,k@ns3v
9241,consider,k@nsId@rɞ
9242,considerable,"k@nsId@r@bl,"
9243,considerably,k@nsId@r@blI
9244,considerate,k@nsId@r@t
9245,considerately,k@nsId@r@tlI
9246,considerateness,k@nsId@r@tnIs
9247,consideration,"k@nsId@reISn,"
9248,considered,k@nsId@d
9249,considering,k@nsId@rIN
9250,considering,k@nsId@rIN
9251,considering,k@nsId@rIN
9252,consign,k@nsaIn
9253,consignee,kOnsaIni
9254,consignment,k@nsaInm@nt
9255,consignor,k@nsaIn@rɞ
9256,consistence,k@nsIst@ns
9257,consistency,k@nsIst@nsI
9258,consistent,k@nsIst@nt
9259,consistently,k@nsIst@ntlI
9260,consistin,k@nsIstIn
9261,consistof,k@nsIstOv
9262,consistorial,kOnsIstOrI@l
9263,consistory,k@nsIst@rI
9264,consolable,"k@ns@Ul@bl,"
9265,consolation,"kOns@leISn,"
9266,consolationprize,"kOns@leISn,praIz"
9267,consolatory,k@nsOl@t@rI
9268,console,kOns@Ul
9269,console,k@ns@Ul
9270,consoletable,"kOns@UlteIbl,"
9271,consolidate,k@nsOlIdeIt
9272,consolidatedannuities,k@nsOlIdeItId@njuItIz
9273,consolidatedfund,k@nsOlIdeItIdfVnd
9274,consolidation,"k@nsOlIdeISn,"
9275,consols,kOns@lz
9276,consomme,k@nsOmeI
9277,consonance,kOns@n@ns
9278,consonant,kOns@n@nt
9279,consonant,kOns@n@nt
9280,consort,kOnsOt
9281,consortium,k@nsOtj@m
9282,consorttogether,k@nsOtt@gED@rɞ
9283,consortwith,k@nsOtwID
9284,conspectus,k@nspEkt@s
9285,conspicuous,k@nspIkjU@s
9286,conspicuousconsumption,"k@nspIkjU@sk@nsVmpSn,"
9287,conspicuously,k@nspIkjU@slI
9288,conspicuousness,k@nspIkjU@snIs
9289,conspiracy,k@nspIr@sI
9290,conspiracyofsilence,k@nspIr@sIOvsaIl@ns
9291,conspirator,k@nspIr@t@rɞ
9292,conspiratorial,k@nspIr@tOrI@l
9293,conspiratorially,k@nspIr@tOrI@lI
9294,conspire,k@nspaI@rɞ
9295,constable,"kVnst@bl,"
9296,constabulary,k@nstɑbjUl@rI
9297,constancy,kOnst@nsI
9298,constant,kOnst@nt
9299,constant,kOnst@nt
9300,constantly,kOnst@ntlI
9301,constellate,kOnstIleIt
9302,constellation,"kOnst@leISn,"
9303,consternate,kOnst@neIt
9304,consternation,"kOnst@neISn,"
9305,constipate,kOnstIpeIt
9306,constipated,kOnstIpeItId
9307,constipation,"kOnstIpeISn,"
9308,constituency,k@nstItjU@nsI
9309,constituent,k@nstItjU@nt
9310,constituent,k@nstItjU@nt
9311,constituentassembly,k@nstItjU@nt@sEmblI
9312,constitute,kOnstItjut
9313,constitution,"kOnstItjuSn,"
9314,constitutional,"kOnstItjuS@nl,"
9315,constitutional,"kOnstItjuS@nl,"
9316,constitutionalism,"kOnstItjuSn,@lIz@m"
9317,constitutionalist,"kOnstItjuSn,@lIst"
9318,constitutionalize,"kOnstItjuSn,@laIz"
9319,constitutionally,"kOnstItjuSn,@lI"
9320,constitutive,kOnstItjutIv
9321,constrain,k@nstreIn
9322,constrained,k@nstreInd
9323,constrainedly,k@nstreInIdlI
9324,constraint,k@nstreInt
9325,constrict,k@nstrIkt
9326,constriction,"k@nstrIkSn,"
9327,constrictive,k@nstrIktIv
9328,constrictor,k@nstrIkt@rɞ
9329,construct,k@nstrVkt
9330,construct,kOnstrVkt
9331,construction,"k@nstrVkSn,"
9332,constructional,"k@nstrVkS@nl,"
9333,constructive,k@nstrVktIv
9334,constructively,k@nstrVktIvlI
9335,constructiveness,k@nstrVktIvnIs
9336,constructor,k@nstrVkt@rɞ
9337,construe,k@nstru
9338,consubstantiate,kOns@bstɑnSIeIt
9339,consubstantiation,"kOns@bstɑnSIeISn,"
9340,consul,kOns@l
9341,consular,kOnsjUl@rɞ
9342,consulate,kOnsjUl@t
9343,consulship,kOns@lSIp
9344,consult,k@nsVlt
9345,consultancy,k@nsVlt@nsI
9346,consultant,k@nsVlt@nt
9347,consultation,"kOns@lteISn,"
9348,consultative,k@nsVlt@tIv
9349,consulting,k@nsVltIN
9350,consultwith,k@nsVltwID
9351,consume,k@nsjum
9352,consumer,k@nsjum@rɞ
9353,consuming,k@nsjumIN
9354,consummate,kOns@meIt
9355,consummate,kOnsVmIt
9356,consummately,k@nsVmItlI
9357,consummation,"kOns@meISn,"
9358,consumption,"k@nsVmpSn,"
9359,consumptive,k@nsVmptIv
9360,consumptive,k@nsVmptIv
9361,cont.,k@nteInIN
9362,contact,kOntɑkt
9363,contact,kOntɑkt
9364,contact,kOntɑkt
9365,contactlens,kOntɑktlEnz
9366,contagion,k@nteIdZ@n
9367,contagious,k@nteIdZ@s
9368,contagiously,k@nteIdZ@slI
9369,contagiousness,k@nteIdZ@snIs
9370,contain,k@nteIn
9371,contained,k@nteInd
9372,container,k@nteIn@rɞ
9373,containerization,"k@nteIn@raIzeISn,"
9374,containerize,k@nteIn@raIz
9375,containerport,k@nteIn@pOt
9376,containership,k@nteIn@SIp
9377,containment,k@nteInm@nt
9378,contaminate,k@ntɑmIneIt
9379,contamination,"k@ntɑmIneISn,"
9380,contaminator,k@ntɑmIneIt@rɞ
9381,contd.,k@ntInjud
9382,contemn,k@ntEm
9383,contemplate,kOntEmpleIt
9384,contemplation,"kOntEmpleISn,"
9385,contemplative,kOntEmpleItIv
9386,contemporaneous,k@ntEmp@reInj@s
9387,contemporaneously,k@ntEmp@reInj@slI
9388,contemporary,k@ntEmp@r@rI
9389,contemporary,k@ntEmp@r@rI
9390,contempt,k@ntEmpt
9391,contemptible,"k@ntEmpt@bl,"
9392,contemptibly,k@ntEmpt@blI
9393,contemptofcourt,k@ntEmptOvkOt
9394,contemptuous,k@ntEmptSU@s
9395,contemptuously,k@ntEmptSU@slI
9396,contend,k@ntEnd
9397,contender,k@ntEnd@rɞ
9398,content,kOntEnt
9399,content,k@ntEnt
9400,content,k@ntEnt
9401,content,k@ntEnt
9402,contented,k@ntEntId
9403,contentedly,k@ntEntIdlI
9404,contention,"k@ntEnSn,"
9405,contentious,k@ntEnS@s
9406,contentiously,k@ntEnS@slI
9407,contentiousness,k@ntEnS@snIs
9408,contentment,k@ntEntm@nt
9409,contents,kOntEnts
9410,conterminous,kOnt3mIn@s
9411,contest,kOntEst
9412,contest,k@ntEst
9413,contestable,"k@ntEst@bl,"
9414,contestant,k@ntEst@nt
9415,context,kOntEkst
9416,contextual,kOntEkstjU@l
9417,contextually,kOntEkstjU@lI
9418,contiguity,kOntIgju@tI
9419,contiguous,k@ntIgjU@s
9420,contiguously,k@ntIgjU@slI
9421,contiguousness,k@ntIgjU@snIs
9422,continence,kOntIn@ns
9423,continent,kOntIn@nt
9424,continent,kOntIn@nt
9425,Continent,kOntIn@nt
9426,continental,"kOntInEntl,"
9427,continental,"kOntInEntl,"
9428,continentalbreakfast,"kOntInEntl,brEkf@st"
9429,continentaldrift,"kOntInEntl,drIft"
9430,continentalquilt,"kOntInEntl,kwIlt"
9431,continentalshelf,"kOntInEntl,SElf"
9432,contingency,k@ntIndZ@nsI
9433,contingent,k@ntIndZ@nt
9434,contingent,k@ntIndZ@nt
9435,contingently,k@ntIndZ@ntlI
9436,continual,k@ntInjU@l
9437,continually,k@ntInjU@lI
9438,continuance,k@ntInjU@ns
9439,continuation,"k@ntInjUeISn,"
9440,continue,k@ntInju
9441,continuity,kOntInju@tI
9442,continuo,k@ntInjU@U
9443,continuous,k@ntInjU@s
9444,continuously,k@ntInjU@slI
9445,continuum,k@ntInjU@m
9446,contort,k@ntOt
9447,contortion,"k@ntOSn,"
9448,contortionist,"k@ntOSn,Ist"
9449,contour,kOntU@rɞ
9450,contour,kOntU@rɞ
9451,contour,kOntU@rɞ
9452,contourmap,kOntU@mɑp
9453,contr.,"k@ntrɑkSn,"
9454,contraband,kOntr@bɑnd
9455,contraband,kOntr@bɑnd
9456,contrabass,kOntr@beIs
9457,contraception,"kOntr@sEpSn,"
9458,contraceptive,kOntr@sEptIv
9459,contraceptive,kOntr@sEptIv
9460,contract,kOntrɑkt
9461,contract,k@ntrɑkt
9462,contractbridge,kOntrɑktbrIdZ
9463,contractible,"k@ntrɑkt@bl,"
9464,contractile,k@ntrɑktaIl
9465,contractin,k@ntrɑktIn
9466,contraction,"k@ntrɑkSn,"
9467,contractor,k@ntrɑkt@rɞ
9468,contractout,k@ntrɑktaUt
9469,contractual,k@ntrɑktSU@l
9470,contractually,k@ntrɑktSU@l
9471,contradict,kOntr@dIkt
9472,contradiction,"kOntr@dIkSn,"
9473,contradictory,kOntr@dIkt@rI
9474,contradistinction,"kOntr@dIstINkSn,"
9475,contradistinguish,kOntr@dIstINgwIS
9476,contrail,kOntraIl
9477,contraindicate,kOntr@IndIkeIt
9478,contraindicated,kOntr@IndIkeItId
9479,contraindication,"kOntr@IndIkeISn,"
9480,contralto,k@ntrɑlt@U
9481,contraption,"k@ntrɑpSn,"
9482,contrapuntal,"kOntr@pVntl,"
9483,contrapuntally,"kOntr@pVntl,I"
9484,contrariety,kOntr@raI@tI
9485,contrarily,kOntr@r@lI
9486,contrariness,kOntr@rInIs
9487,contrariwise,kOntr@rIwaIz
9488,contrary,kOntr@rI
9489,contrary,k@ntrE@rI
9490,contrary,kOntr@rI
9491,contraryto,kOntr@rItu
9492,contrast,kOntrAst
9493,contrast,k@ntrAst
9494,contravene,kOntr@vin
9495,contravention,"kOntr@vEnSn,"
9496,contretemps,kOntr@tA~N
9497,contribute,k@ntrIbjut
